AMER3
PETZ3
HAPV3
COGN3
BBDC4
VALE3
ABEV3
PETR4
ITUB4
NTCO3
RENT3
B3SA3
ITSA4
IFCM3
LREN3
AZUL4
CIEL3
MGLU3
BBAS3
PCAR3
CMIG4
BBSE3
POMO4
RAIZ4
ASAI3
RAIL3
MRVE3
PRIO3
EQTL3
JBSS3
USIM5
CSAN3
WEGE3
CVCB3
CRFB3
VVEO3
UGPA3
CMIN3
TIMS3
BRFS3
VBBR3
GGBR4
CYRE3
PETR3
CPLE6
BBDC3
IRBR3
ENEV3
SUZB3
RDOR3
ELET3
GOAU4
MRFG3
ANIM3
EMBR3
CSNA3
RRRP3
BPAN4
MLAS3
LWSA3
CCRO3
VIVA3
BEEF3
MULT3
LJQQ3
SBSP3
STBP3
BHIA3
AZEV4
RADL3
CPLE3
VAMO3
AURE3
SIMH3
MOVI3
ALOS3
SMFT3
GFSA3
ONCO3
YDUQ3
POSI3
ALPA4
DXCO3
CEAB3
BRAP4
AZZA3
GMAT3
JHSF3
RAPT4
HYPE3
QUAL3
EZTC3
TOTS3
FLRY3
TEND3
SLCE3
CBAV3
LIGT3
GGPS3
TRPL4
SYNE3
VIVT3
OIBR3
CXSE3
AESB3
CSMG3
BRKM5
ECOR3
GOLL4
KLBN4
DIRR3
GUAR3
SEQL3
CLSA3
RECV3
SRNA3
SBFG3
TTEN3
HBSA3
ENJU3
MEAL3
DASA3
CPFE3
ODPV3
PLPL3
EGIE3
ABCB4
PSSA3
ARML3
JFEN3
ELET6
BRIT3
SMTO3
CASH3
MDIA3
NEOE3
GRND3
AZEV3
BRSR6
LEVE3
MYPK3
KEPL3
MTRE3
CURY3
LAVV3
PDGR3
MELK3
SOJA3
PTBL3
INTB3
VULC3
SAPR4
RANI3
HBOR3
PGMN3
AERI3
MILS3
AMBP3
NGRD3
EVEN3
ITUB3
CAML3
VITT3
PINE4
ETER3
RNEW4
MBLY3
AMAR3
RNEW3
JALL3
TRIS3
BLAU3
PNVL3
TRAD3
JSLG3
BMGB4
FESA4
TUPY3
WIZC3
ZAMP3
VLID3
AGXY3
SEER3
MATD3
RCSL3
CSED3
TECN3
KLBN3
OPCT3
TAEE4
PORT3
ITSA3
ESPA3
PRNR3
FRAS3
FIQE3
MDNE3
ORVR3
UNIP6
HBRE3
KRSA3
LOGG3
USIM3
BMOB3
TASA4
PFRM3
INEP4
SHUL4
DESK3
LPSB3
CMIG3
LUPA3
SANB4
AGRO3
SHOW3
SANB3
INEP3
RSID3
TAEE3
POMO3
ROMI3
SAPR3
EUCA4
TGMA3
TCSA3
ALPK3
ELMD3
RCSL4
DOTZ3
AALR3
VIVR3
ATMP3
BRAP3
PDTC3
DEXP3
TPIS3
PMAM3
LAND3
IGTI3
IGTI3
CSUD3
TFCO4
DMVF3
GOAU3
BIOM3
ATOM3
BOBR4
RAPT3
GGBR3
ALLD3
CAMB3
RPMG3
AZEV11
UNIP3
BMEB4
LVTC3
DEXP4
EALT4
AVLL3
PTNT4
CTSA4
BEES3
EQPA3
BGIP4
VTRU3
NUTR3
TASA3
BRSR3
MNDL3
ALUP4
LOGN3
WEST3
OSXB3
UCAS3
HAGA4
TELB4
MTSA4
ENGI4
CGRA4
BPAC3
AMAR11
CEBR6
BPAC5
OIBR4
NINJ3
BRKM3
WHRL4
ALUP3
BAZA3
RPAD3
FHER3
DOHL4
CSRN3
SNSY5
COCE5
ALPA3
VSTE3
CEBR5
BALM4
BEES4
RSUL4
ENGI3
TRPL3
PSVM11
BIOM11
CGRA3
MNPR3
RDNI3
SCAR3
PATI3
EPAR3
OFSA3
WHRL3
NEXP3
CTSA3
CGAS5
CEBR3
UNIP5
CLSC4
EKTR4
EALT3
REDE3
SNSY3
CRPG5
DTCY3
NORD3
CRPG6
MGEL4
HOOT4
CGAS3
BMEB3
GEPA4
CSRN5
BAHI3
EMAE4
CEDO4
MAPT4
CEEB3
FRIO3
MRSA6B
CSRN6
TELB3
GSHP3
HAGA3
ENMT4
BSLI3
PINE3
MAPT3
CLSC3
PATI4
TEKA4
BGIP3
CEDO3
CTKA4
BSLI4
PTNT3
ESTR4
BMKS3
SGPS3
PLAS3
CTNM4
APER3
WLMM4
BMIN4
EQMA3B
EUCA3
BDLL4
CPLE5
MWET4
CTKA3
IGTI4
IGTI4
EQPA5
RPAD6
PEAB3
CEED3
BNBR3
HBTS5
COCE3
BRSR5
HETA4
FESA3
USIM6
AHEB3
CTNM3
GEPA3
PINE11
BAUH4
WLMM3
AFLT3
RPAD5
ENMT3
LIPR3
BALM3
LUXM4
BRKM6
MOAR3
MERC4
MRSA3B
FIEI3
ELET5
BDLL3
